誤った文言・表記／読み,正しい文言・表記,理由／意味
然し,しかし,接続詞は平仮名表記が一般的。
尚,なお,接続詞は平仮名表記が一般的。
又は,または,接続詞は平仮名表記が一般的。
若しくは,もしくは,接続詞は平仮名表記が一般的。
致します,いたします,補助動詞は平仮名表記が一般的。
頂く,いただく,補助動詞は平仮名表記が一般的。
下さい,ください,補助動詞は平仮名表記が一般的。
～と言う（～と言う話）,～という話,補助動詞は平仮名表記が一般的。
～して行く（買って行く）,買っていく,補助動詞は平仮名表記が一般的。
～して来る（買って来る）,買ってくる,補助動詞は平仮名表記が一般的。
～して欲しい,～してほしい,補助動詞は平仮名表記が一般的。
～になって来る,寒くなってくる,補助動詞は平仮名表記が一般的。
（寒くなって来る）,,補助動詞は平仮名表記が一般的。
～して置く（伝えて置く）,伝えておく,補助動詞は平仮名表記が一般的。
～して見る（やって見る）,やってみる,補助動詞は平仮名表記が一般的。
～に因る,～による,補助動詞は平仮名表記が一般的。
～を始め,～をはじめ,補助動詞は平仮名表記が一般的。
予め,あらかじめ,副詞は平仮名表記が一般的。
未だに,いまだに,副詞は平仮名表記が一般的。
概ね,おおむね,副詞は平仮名表記が一般的。
殆ど,ほとんど,副詞は平仮名表記が一般的。
益々,ますます,副詞は平仮名表記が一般的。
僅か,わずか,副詞は平仮名表記が一般的。
位,くらい,副助詞は平仮名表記が一般的。
頃,ころ,副助詞は平仮名表記が一般的。
等,など,副助詞は平仮名表記が一般的。
他,ほか,副助詞は平仮名表記が一般的。
程,ほど,副助詞は平仮名表記が一般的。
迄,まで,副助詞は平仮名表記が一般的。
あげる,上げる,位置や程度をあげる場合。
あげる,挙げる,はっきりわかるように示す場合。
いし,意思,気持ち、考え。
いし,意志,どうしたいと思っているか。
うかがう,伺う,敬語の「うかがう」。
うかがう,窺う（うかがう）,様子を見る。
かいてい,改訂,文書の内容を修正する場合。
かいてい,改定,ルールなどを変更する場合。
からだ,体,からだ。
からだ,身体,心や精神も含んだからだ。
かんしょう,観賞,自然や生物の場合。
かんしょう,鑑賞,音楽や絵画の場合。
きく,聞く,意識せず耳に入ってくる状態。
きく,聴く,理解するために進んできく状態。
きわめる,極める,最高の状態に達すること。
きわめる,究める,対象を突き止めること。
こうてい,行程,道順、スケジュール。
こうてい,工程,手順。
こえる,超える,基準・数量を上回ること。
こえる,越える,場所・時間を通りすぎること。
さくせい,作成,文書・計画などを作ること。
さくせい,作製,品物・機械・図面などを作ること。
じりつ,自立,助けを受けず一人で行動すること。
じりつ,自律,自身の規範や気持ちに従い、自身の言動をコントロールすること。
せいさく,制作,作品を作る場合。 
せいさく,製作,商品を作る場合。
つくる,作る,作品をつくる場合。
つくる,造る,工業的なものをつくる場合。
つくる,創る,創造する場合。
つとめる,務める,役割を果たすこと。
つとめる,努める,努力すること。
のばす,伸ばす,まっすぐにする。
のばす,延ばす,延期する。
はいふ,配付,相手を限定して配る場合。
はいふ,配布,不特定多数に配る場合。
はく,履く,靴をはく場合。
はく,穿く（はく）,ズボンやスカートをはく場合。
はじめ,始め,開始、スタート。
はじめ,初め,順番の最初、最初のほう。
まわり,周り,周囲、周辺。
まわり,回り,身辺、身の回り。
ようこう,要項,重要事項をまとめたもの。
ようこう,要綱,指針や根本となる重要な事柄。
てほん,手本,模範、やり方。 
みほん,見本,サンプル。
ぶん,文,句点で区切られたもの。
ぶんしょう,文章,文が集まったもの。
ししゃ,視写,文章などを書き写すこと。
しょしゃ,書写,文字を書きとること。
もしゃ,模写,絵などを真似て写しとること。
ぼうりんぐ,ボウリング,球技。
ぼーりんぐ,ボーリング,地盤に穴を開ける作業。
なついん,捺印,自筆による署名に印鑑を押すこと。
おういん,押印,自筆でない名前に印鑑を押すこと。
しょめい,署名,手書きで自分の名前を記すこと。
きめい,記名,手書き以外で名前を記すこと。
